# SMN automatic weather stations. Source: MeteoSwiss. Generated 2026-08-20.
# from ogd-smn_meta_stations.csv sha256=8087e755a9ec71b50313bd9be61d1159c53afb03fa34b9750fae49dcc111854b
abbr;name;lat;lon;alt
SHA;Schaffhausen;47.6898;8.6201;438
SIA;Segl-Maria;46.4323;9.7623;1804
SIM;Simplon-Dorf;46.1968;8.0563;1465
SIO;Sion;46.2186;7.3302;482
SMA;Zürich / Fluntern;47.3810;8.5672;604
SMM;Sta. Maria, Val Müstair;46.6023;10.4263;1386
SPF;Schüpfheim;46.9470;8.0124;744
SRS;Schiers;46.9755;9.6681;626
STC;St. Chrischona;47.5718;7.6871;493
STG;St. Gallen;47.4255;9.3985;776
STK;Steckborn;47.6686;8.9814;397
TAE;Aadorf / Tänikon;47.4799;8.9049;539
THU;Thun;46.7499;7.5852;570
TIT;Titlis;46.7706;8.4260;3045
UEB;Uetliberg;47.3514;8.4902;854
ULR;Ulrichen;46.5049;8.3082;1346
VAB;Valbella;46.7550;9.5544;1568
VAD;Vaduz;47.1275;9.5176;457
VEV;Vevey / Corseaux;46.4712;6.8151;405
VIO;Vicosoprano;46.3530;9.6278;1089
VIS;Visp;46.3029;7.8430;639
VIT;Villars-Tiercelin;46.6218;6.7101;859
VLS;Vals;46.6278;9.1887;1242
WAE;Wädenswil;47.2210;8.6777;485
WFJ;Weissfluhjoch;46.8333;9.8064;2691
WYN;Wynau;47.2550;7.7875;422
ZER;Zermatt;46.0293;7.7524;1638
